path,target,input_lengths,english_gloss,chinese_gloss,cantonese_gloss
data\features\HKSLLEX-2023-00000067.pt,1349,72,important,重要,重要
data\features\HKSLLEX-2023-00000068.pt,776,72,delicious,美味,好味
data\features\HKSLLEX-2023-00000070.pt,944,76,engagement,訂婚,訂婚
data\features\HKSLLEX-2023-00000069.pt,1097,81,freckles,雀斑,雀斑
data\features\HKSLLEX-2023-00000071.pt,944,73,engagement,訂婚,訂婚
data\features\HKSLLEX-2023-00000072.pt,1006,81,farm,農場,農場
data\features\HKSLLEX-2023-00000074.pt,1797,71,peace,和平,和平
data\features\HKSLLEX-2023-00000073.pt,2693,85,which,哪個,哪個
data\features\HKSLLEX-2023-00000075.pt,2197,77,silly,傻,傻
data\features\HKSLLEX-2023-00000077.pt,1894,68,possible,有可能,有可能
data\features\HKSLLEX-2023-00000076.pt,912,82,eat,吃,食
data\features\HKSLLEX-2023-00000078.pt,410,80,black,黑色,黑色
data\features\HKSLLEX-2023-00000079.pt,1865,88,please,欣慰,欣慰
data\features\HKSLLEX-2023-00000080.pt,1629,80,mother,媽媽,媽咪
data\features\HKSLLEX-2023-00000081.pt,2085,72,same,類似,類似
data\features\HKSLLEX-2023-00000084.pt,2746,73,year,年,年
data\features\HKSLLEX-2023-00000083.pt,2103,78,scarcely,幾乎不會,幾乎不會
data\features\HKSLLEX-2023-00000086.pt,2403,66,swallow,吞下,吞
data\features\HKSLLEX-2023-00000082.pt,882,91,drink,喝,飲
data\features\HKSLLEX-2023-00000085.pt,2637,76,wait,讓,等
data\features\HKSLLEX-2023-00000087.pt,1103,68,friday,星期五,星期五
data\features\HKSLLEX-2023-00000088.pt,1978,85,really,真的,真嘅
data\features\HKSLLEX-2023-00000089.pt,687,80,congratulations,恭喜,恭喜
data\features\HKSLLEX-2023-00000091.pt,2375,64,subtract,減,減
data\features\HKSLLEX-2023-00000094.pt,2669,58,wear,身穿,身穿
data\features\HKSLLEX-2023-00000093.pt,237,60,after,之後,之後
data\features\HKSLLEX-2023-00000092.pt,2710,75,win,贏,贏
data\features\HKSLLEX-2023-00000090.pt,1306,88,hospital,醫院,醫院
data\features\HKSLLEX-2023-00000095.pt,1430,81,key,鑰匙,鎖匙
data\features\HKSLLEX-2023-00000096.pt,2558,76,try,嘗試,嘗試
data\features\HKSLLEX-2023-00000098.pt,2692,76,where,哪裡,邊度
data\features\HKSLLEX-2023-00000099.pt,1182,69,grandfather,公公,公公
data\features\HKSLLEX-2023-00000097.pt,2558,84,try,嘗試,嘗試
data\features\HKSLLEX-2023-00000100.pt,1182,77,grandfather,爺爺,爺爺
data\features\HKSLLEX-2023-00000101.pt,2383,73,summer,夏天,夏天
data\features\HKSLLEX-2023-00000102.pt,221,73,act,扮演,扮演
data\features\HKSLLEX-2023-00000103.pt,1777,74,parade,遊行,遊行
data\features\HKSLLEX-2023-00000104.pt,2636,60,vote,投票,投票
data\features\HKSLLEX-2023-00000105.pt,2224,74,slow,慢,慢
data\features\HKSLLEX-2023-00000107.pt,1749,68,other,其他,其他
data\features\HKSLLEX-2023-00000106.pt,1201,73,grow,成長,成長
data\features\HKSLLEX-2023-00000110.pt,2650,56,warm,溫暖,暖
data\features\HKSLLEX-2023-00000109.pt,2489,67,thursday,週四,星期四
data\features\HKSLLEX-2023-00000108.pt,876,78,dream,夢,夢
data\features\HKSLLEX-2023-00000111.pt,445,72,boss,老闆,老闆
data\features\HKSLLEX-2023-00000112.pt,2073,66,sad,不開心,唔開心
data\features\HKSLLEX-2023-00000114.pt,2761,60,zoom in,放大,放大
data\features\HKSLLEX-2023-00000117.pt,215,53,accident,意外,意外
data\features\HKSLLEX-2023-00000113.pt,609,71,cigar,雪茄,雪茄
data\features\HKSLLEX-2023-00000116.pt,215,72,accident,意外,意外
data\features\HKSLLEX-2023-00000118.pt,215,74,accident,意外,意外
data\features\HKSLLEX-2023-00000115.pt,726,86,credit card,信用卡,信用卡
data\features\HKSLLEX-2023-00000119.pt,1175,61,government,政府,政府
data\features\HKSLLEX-2023-00000121.pt,978,70,experience,經驗,經驗
data\features\HKSLLEX-2023-00000122.pt,978,68,experience,體驗,體驗
data\features\HKSLLEX-2023-00000120.pt,746,80,dance,跳舞,跳舞
data\features\HKSLLEX-2023-00000123.pt,2683,64,wet,濕,濕
data\features\HKSLLEX-2023-00000124.pt,821,60,disagreement,分歧,分歧
data\features\HKSLLEX-2023-00000126.pt,1524,81,look appearance,看似,看似
data\features\HKSLLEX-2023-00000125.pt,1948,80,purple,紫色,紫色
data\features\HKSLLEX-2023-00000127.pt,1576,61,mean,刻薄,刻薄
data\features\HKSLLEX-2023-00000129.pt,242,60,age,年紀,年紀
data\features\HKSLLEX-2023-00000132.pt,761,61,decide,決定,決定
data\features\HKSLLEX-2023-00000131.pt,2147,70,sew,縫紉,縫紉
data\features\HKSLLEX-2023-00000128.pt,1672,78,new,新的,新的
data\features\HKSLLEX-2023-00000130.pt,210,80,about,關於,關於
data\features\HKSLLEX-2023-00000135.pt,1838,61,pile,堆,堆
data\features\HKSLLEX-2023-00000133.pt,2359,72,stress,壓力,壓力
data\features\HKSLLEX-2023-00000134.pt,2725,71,wonder,想,諗
data\features\HKSLLEX-2023-00000138.pt,2673,62,week,星期,星期
data\features\HKSLLEX-2023-00000139.pt,2673,59,week,星期,星期
data\features\HKSLLEX-2023-00000136.pt,1838,80,pile,堆,堆
data\features\HKSLLEX-2023-00000137.pt,1220,81,hairdryer,風筒,風筒
data\features\HKSLLEX-2023-00000140.pt,2497,72,time,時間,時間
data\features\HKSLLEX-2023-00000142.pt,331,67,bad,糟糕,衰
data\features\HKSLLEX-2023-00000143.pt,1250,62,health,健康,健康
data\features\HKSLLEX-2023-00000145.pt,1194,44,green,綠色,綠色
data\features\HKSLLEX-2023-00000141.pt,418,77,blinds,窗簾,窗簾
data\features\HKSLLEX-2023-00000144.pt,1473,55,leave,離開,離開
data\features\HKSLLEX-2023-00000146.pt,2259,67,son,兒子,兒子
data\features\HKSLLEX-2023-00000147.pt,2388,66,sunset,日落,日落
data\features\HKSLLEX-2023-00000148.pt,573,67,character,性格,性格
data\features\HKSLLEX-2023-00000150.pt,458,55,boy,男孩,男仔
data\features\HKSLLEX-2023-00000151.pt,1099,66,freeway,高速公路,高速公路
data\features\HKSLLEX-2023-00000152.pt,271,68,animal,動物,動物
data\features\HKSLLEX-2023-00000149.pt,2546,80,travel,旅行,旅行
data\features\HKSLLEX-2023-00000153.pt,2538,70,train,火車,火車
data\features\HKSLLEX-2023-00000154.pt,2008,61,remote control,遠程控制,遠端控制
data\features\HKSLLEX-2023-00000155.pt,935,60,emotion,感情,感情
data\features\HKSLLEX-2023-00000157.pt,1136,61,get,拿,攞
data\features\HKSLLEX-2023-00000160.pt,462,57,brag,吹牛,吹牛
data\features\HKSLLEX-2023-00000156.pt,2620,86,videocamera,攝像機,攝錄機
data\features\HKSLLEX-2023-00000158.pt,697,76,cookie,餅乾,餅乾
data\features\HKSLLEX-2023-00000159.pt,2311,71,starbucks,星巴克,星巴克
data\features\HKSLLEX-2023-00000162.pt,667,68,communication,溝通,溝通
data\features\HKSLLEX-2023-00000161.pt,1491,71,lie,說謊,講大話
data\features\HKSLLEX-2023-00000163.pt,2732,66,worm,蠕蟲,蠕蟲
data\features\HKSLLEX-2023-00000164.pt,2068,72,run,跑,跑
data\features\HKSLLEX-2023-00000165.pt,2601,65,vacation,假期,假期
data\features\HKSLLEX-2023-00000167.pt,1341,61,imagine,想像,想像
data\features\HKSLLEX-2023-00000166.pt,2157,71,shave,剃鬚,剃
data\features\HKSLLEX-2023-00000168.pt,2471,72,thief,賊,賊
data\features\HKSLLEX-2023-00000170.pt,2143,68,set up shop,設定,設定
data\features\HKSLLEX-2023-00000171.pt,1572,64,maybe,可能,可能
data\features\HKSLLEX-2023-00000169.pt,2142,83,set up,設定,設定
data\features\HKSLLEX-2023-00000173.pt,2433,60,tall,高,高
data\features\HKSLLEX-2023-00000172.pt,2731,67,world,世界,世界
data\features\HKSLLEX-2023-00000174.pt,1039,56,finish,完成,完成
data\features\HKSLLEX-2023-00000175.pt,517,61,call tty,用電傳打字機,用電傳打字機
data\features\HKSLLEX-2023-00000176.pt,1846,56,pipe,管,管
data\features\HKSLLEX-2023-00000177.pt,2004,67,religion,宗教,宗教
data\features\HKSLLEX-2023-00000179.pt,2532,64,tournament,比賽,比賽
data\features\HKSLLEX-2023-00000178.pt,510,77,cabinet,櫃,櫃
data\features\HKSLLEX-2023-00000181.pt,855,58,dont mind,不介意,唔介意
data\features\HKSLLEX-2023-00000182.pt,1148,64,glass,玻璃,玻璃
data\features\HKSLLEX-2023-00000183.pt,1149,68,glasses,眼鏡,眼鏡
data\features\HKSLLEX-2023-00000180.pt,1625,80,more,多一點,多啲
data\features\HKSLLEX-2023-00000184.pt,2218,76,sleep,睡覺,訓覺
data\features\HKSLLEX-2023-00000185.pt,1382,75,interest,興趣,興趣
data\features\HKSLLEX-2023-00000187.pt,580,67,check,檢查,檢查
data\features\HKSLLEX-2023-00000186.pt,542,72,careful,小心,小心
data\features\HKSLLEX-2023-00000189.pt,1781,65,parents,家長,家長
data\features\HKSLLEX-2023-00000188.pt,2473,80,things,東西,東西
data\features\HKSLLEX-2023-00000190.pt,1527,73,look for,尋找,搵
data\features\HKSLLEX-2023-00000191.pt,1511,87,live,生活,生活
data\features\HKSLLEX-2023-00000192.pt,2554,74,trouble,麻煩,麻煩
data\features\HKSLLEX-2023-00000193.pt,1074,68,for,為了,為咗
data\features\HKSLLEX-2023-00000194.pt,467,70,brave,勇敢,勇敢
data\features\HKSLLEX-2023-00000195.pt,565,69,challenge,挑戰,挑戰
data\features\HKSLLEX-2023-00000196.pt,2460,54,text,傳訊息,傳訊息
data\features\HKSLLEX-2023-00000197.pt,444,68,borrow,借方,借
data\features\HKSLLEX-2023-00000198.pt,2672,65,wednesday,週三,星期三
data\features\HKSLLEX-2023-00000199.pt,1244,60,have,有,有
data\features\HKSLLEX-2023-00000202.pt,1511,55,live,居住,居住
data\features\HKSLLEX-2023-00000200.pt,1028,74,fight,打架,打架
data\features\HKSLLEX-2023-00000203.pt,379,57,beer,啤酒,啤酒
data\features\HKSLLEX-2023-00000201.pt,2728,68,work,工作,工作
data\features\HKSLLEX-2023-00000204.pt,1290,62,home,家,屋企
data\features\HKSLLEX-2023-00000206.pt,1257,71,heart,心,心
data\features\HKSLLEX-2023-00000205.pt,1461,90,lawnmower,剪草機,剪草機
data\features\HKSLLEX-2023-00000207.pt,1310,86,hotdog,熱狗,熱狗
data\features\HKSLLEX-2023-00000210.pt,268,72,and,並且,同埋
data\features\HKSLLEX-2023-00000208.pt,618,84,class,類別,類別
data\features\HKSLLEX-2023-00000209.pt,1431,83,keyboard,鍵盤,鍵盤
data\features\HKSLLEX-2023-00000212.pt,520,72,camera,有鏡頭的相機,有鏡頭的相機
data\features\HKSLLEX-2023-00000211.pt,520,84,camera,相機,相機
data\features\HKSLLEX-2023-00000214.pt,998,73,fall,秋天,秋天
data\features\HKSLLEX-2023-00000213.pt,1032,89,film,膠片,菲林
data\features\HKSLLEX-2023-00000215.pt,2649,65,war,戰爭,戰爭
data\features\HKSLLEX-2023-00000220.pt,1179,53,graduate,畢業,畢業
data\features\HKSLLEX-2023-00000217.pt,1519,62,lonely,孤單一人,孤單
data\features\HKSLLEX-2023-00000218.pt,2104,64,scared,怕,驚
data\features\HKSLLEX-2023-00000216.pt,1637,82,movies,電影,電影
data\features\HKSLLEX-2023-00000219.pt,1235,68,happen,發生,發生
data\features\HKSLLEX-2023-00000221.pt,933,62,email,電子郵件,電郵
data\features\HKSLLEX-2023-00000222.pt,2015,70,research,研究,研究
data\features\HKSLLEX-2023-00000223.pt,2366,67,stubborn,固執,硬頸
data\features\HKSLLEX-2023-00000224.pt,743,65,cute,可愛,可愛
data\features\HKSLLEX-2023-00000228.pt,2586,53,understand,明白,明白
data\features\HKSLLEX-2023-00000225.pt,1986,77,recording,錄影,錄影
data\features\HKSLLEX-2023-00000227.pt,1041,68,fire,火,火
data\features\HKSLLEX-2023-00000226.pt,1986,84,recording,錄影,錄影
data\features\HKSLLEX-2023-00000230.pt,2431,50,talk,說話,講嘢
data\features\HKSLLEX-2023-00000229.pt,891,67,dryer,乾衣機,乾衣機
data\features\HKSLLEX-2023-00000231.pt,1321,77,hungry,肚子餓,肚餓
data\features\HKSLLEX-2023-00000232.pt,1010,68,fat,肥,肥
data\features\HKSLLEX-2023-00000235.pt,934,72,embarrass,出醜,出醜
data\features\HKSLLEX-2023-00000233.pt,1495,76,light weight,輕,輕
data\features\HKSLLEX-2023-00000234.pt,1456,75,late,遲到,遲到
data\features\HKSLLEX-2023-00000236.pt,1614,73,mock,恥笑,恥笑
data\features\HKSLLEX-2023-00000237.pt,1029,54,figure,計數,計數
data\features\HKSLLEX-2023-00000238.pt,2580,77,ugly,醜,樣衰
data\features\HKSLLEX-2023-00000240.pt,1912,64,pretty,美麗,靚
data\features\HKSLLEX-2023-00000239.pt,2262,87,sorry,對不起,對唔住
data\features\HKSLLEX-2023-00000241.pt,708,73,cousin,表哥,表哥
data\features\HKSLLEX-2023-00000243.pt,708,73,cousin,表姐,表姐
data\features\HKSLLEX-2023-00000242.pt,708,73,cousin,表哥,表弟
data\features\HKSLLEX-2023-00000245.pt,708,76,cousin,堂兄,堂兄
data\features\HKSLLEX-2023-00000244.pt,708,87,cousin,表哥,表妹
data\features\HKSLLEX-2023-00000246.pt,708,84,cousin,堂弟,堂弟
data\features\HKSLLEX-2023-00000247.pt,708,80,cousin,堂姐,堂家姐
data\features\HKSLLEX-2023-00000249.pt,1001,64,family,家人,屋企人
data\features\HKSLLEX-2023-00000250.pt,222,59,action,動作,動作
data\features\HKSLLEX-2023-00000248.pt,708,75,cousin,堂妹,堂妹
data\features\HKSLLEX-2023-00000251.pt,559,79,center,中間,中間
data\features\HKSLLEX-2023-00000253.pt,1088,56,four,四,四
data\features\HKSLLEX-2023-00000252.pt,2596,65,upload,上傳,上載
data\features\HKSLLEX-2023-00000254.pt,2657,68,waste,浪費,浪費
data\features\HKSLLEX-2023-00000256.pt,1553,62,make,製作,製作
data\features\HKSLLEX-2023-00000255.pt,1485,71,letter,信,信
data\features\HKSLLEX-2023-00000257.pt,353,74,basement,地下室,地牢
data\features\HKSLLEX-2023-00000259.pt,1237,63,hard,難,難
data\features\HKSLLEX-2023-00000258.pt,1573,80,mcdonalds,麥當勞,麥當勞
data\features\HKSLLEX-2023-00000261.pt,1960,76,quiet,靜,靜
data\features\HKSLLEX-2023-00000260.pt,1237,80,hard,硬,硬
data\features\HKSLLEX-2023-00000262.pt,516,68,call attention,引起注意,引起注意
data\features\HKSLLEX-2023-00000263.pt,1114,80,front,前面,前面
data\features\HKSLLEX-2023-00000264.pt,1558,84,man,男人,男人
data\features\HKSLLEX-2023-00000265.pt,1618,75,money,錢,錢
data\features\HKSLLEX-2023-00000267.pt,755,76,day,日,日
data\features\HKSLLEX-2023-00000266.pt,1037,85,fine,挺好,幾好
data\features\HKSLLEX-2023-00000269.pt,1447,73,know,知道,知道
data\features\HKSLLEX-2023-00000268.pt,2361,81,strict,嚴格,嚴格
data\features\HKSLLEX-2023-00000271.pt,2178,68,show,出示,出示
data\features\HKSLLEX-2023-00000270.pt,1790,88,past,過去,過去
data\features\HKSLLEX-2023-00000272.pt,1013,72,fault,過錯,過錯
data\features\HKSLLEX-2023-00000274.pt,2719,71,wish,願望,願望
data\features\HKSLLEX-2023-00000273.pt,954,85,equal,平等,平等
data\features\HKSLLEX-2023-00000276.pt,1249,80,headphones,耳機,耳機
data\features\HKSLLEX-2023-00000275.pt,1249,89,headphones,耳筒,耳筒
data\features\HKSLLEX-2023-00000277.pt,867,84,downsize,減少,減少
data\features\HKSLLEX-2023-00000278.pt,1438,64,king,國王,國王
data\features\HKSLLEX-2023-00000280.pt,1204,68,guess,猜,估
data\features\HKSLLEX-2023-00000279.pt,1438,83,king,國王,國王
data\features\HKSLLEX-2023-00000281.pt,2372,75,stupid,蠢,蠢
data\features\HKSLLEX-2023-00000282.pt,610,84,cigarette,香煙,香煙
data\features\HKSLLEX-2023-00000285.pt,838,55,divorce,離婚,離婚
data\features\HKSLLEX-2023-00000284.pt,673,75,complex,複雜,複雜
data\features\HKSLLEX-2023-00000283.pt,1647,79,my,我的,我嘅
data\features\HKSLLEX-2023-00000287.pt,1862,66,play,玩,玩
data\features\HKSLLEX-2023-00000286.pt,977,80,expensive,貴,貴
data\features\HKSLLEX-2023-00000288.pt,730,86,cross,十字架,十字架
data\features\HKSLLEX-2023-00000289.pt,1278,67,hippo,河馬,河馬
data\features\HKSLLEX-2023-00000290.pt,2303,87,staff,職員,職員
data\features\HKSLLEX-2023-00000293.pt,1980,74,reason,原因,原因
data\features\HKSLLEX-2023-00000291.pt,956,88,eraser,擦字膠,擦字膠
data\features\HKSLLEX-2023-00000292.pt,675,77,computer mouse,滑鼠,滑鼠
data\features\HKSLLEX-2023-00000294.pt,1077,81,foreigner,外國人,外國人
data\features\HKSLLEX-2023-00000296.pt,2012,64,requirement,要求,要求
data\features\HKSLLEX-2023-00000295.pt,1077,88,foreigner,外國人,外國人
data\features\HKSLLEX-2023-00000297.pt,577,83,chat,傾談,傾計
data\features\HKSLLEX-2023-00000299.pt,2456,76,temptation,引誘,引誘
data\features\HKSLLEX-2023-00000301.pt,975,78,exercise,運動,運動
data\features\HKSLLEX-2023-00000298.pt,713,84,cracker,梳打餅,蘇打餅
data\features\HKSLLEX-2023-00000300.pt,585,87,cherry,車厘子,車厘子
data\features\HKSLLEX-2023-00000303.pt,420,64,blood,血,血
data\features\HKSLLEX-2023-00000302.pt,272,71,announce,公佈,公佈
data\features\HKSLLEX-2023-00000304.pt,420,65,blood,血,血
data\features\HKSLLEX-2023-00000305.pt,282,82,appointment,預約,預約
data\features\HKSLLEX-2023-00000308.pt,1759,59,owe,欠,欠
data\features\HKSLLEX-2023-00000311.pt,2385,52,sun,太陽,太陽
data\features\HKSLLEX-2023-00000307.pt,1759,76,owe,欠,欠
data\features\HKSLLEX-2023-00000306.pt,282,79,appointment,預約,預約
data\features\HKSLLEX-2023-00000309.pt,1020,83,feel,感覺,感覺
data\features\HKSLLEX-2023-00000310.pt,2472,82,thin,瘦,瘦
data\features\HKSLLEX-2023-00000312.pt,1913,78,price,價格,價錢
data\features\HKSLLEX-2023-00000314.pt,265,62,america,美國,美國
data\features\HKSLLEX-2023-00000313.pt,2573,71,two,二,二
data\features\HKSLLEX-2023-00000317.pt,1530,61,lose game,輸,輸
data\features\HKSLLEX-2023-00000316.pt,1402,68,jacket,夾克,外套
data\features\HKSLLEX-2023-00000315.pt,1394,81,invite,邀請,邀請
data\features\HKSLLEX-2023-00000318.pt,963,61,europe,歐洲,歐洲
data\features\HKSLLEX-2023-00000320.pt,1885,62,poor,窮,窮
data\features\HKSLLEX-2023-00000319.pt,1885,81,poor,窮,窮
data\features\HKSLLEX-2023-00000321.pt,1626,56,morning,早上,早上
data\features\HKSLLEX-2023-00000322.pt,2733,67,worry,擔心,擔心
data\features\HKSLLEX-2023-00000324.pt,527,56,cancellation,取消,取消
data\features\HKSLLEX-2023-00000323.pt,2444,74,tear,眼淚,眼淚
data\features\HKSLLEX-2023-00000326.pt,1226,68,hammer,槌,槌
data\features\HKSLLEX-2023-00000325.pt,608,75,church,教堂,教堂
data\features\HKSLLEX-2023-00000327.pt,1255,63,hearing,健聽,健聽
data\features\HKSLLEX-2023-00000328.pt,1509,72,listen,聽,聽
data\features\HKSLLEX-2023-00000329.pt,1962,63,rabbit,兔子,兔仔
data\features\HKSLLEX-2023-00000331.pt,1183,60,grandmother,嬤嬤,嫲嫲
data\features\HKSLLEX-2023-00000330.pt,702,80,corn,玉米,粟米
data\features\HKSLLEX-2023-00000332.pt,1185,67,granny,婆婆,婆婆
data\features\HKSLLEX-2023-00000333.pt,2724,84,woman,女人,女人
data\features\HKSLLEX-2023-00000336.pt,383,68,behavior,行為,行為
data\features\HKSLLEX-2023-00000335.pt,786,84,department,部門,部門
data\features\HKSLLEX-2023-00000334.pt,1384,88,internet,互聯網,互聯網
data\features\HKSLLEX-2023-00000337.pt,1577,90,measure,量度,量度
data\features\HKSLLEX-2023-00000339.pt,658,69,color,顏色,顏色
data\features\HKSLLEX-2023-00000338.pt,2568,89,tv,電視,電視
data\features\HKSLLEX-2023-00000340.pt,1409,89,jelly,啫喱,啫喱
data\features\HKSLLEX-2023-00000341.pt,1947,81,punish,懲罰,懲罰
data\features\HKSLLEX-2023-00000343.pt,923,68,egypt,埃及,埃及
data\features\HKSLLEX-2023-00000342.pt,923,85,egypt,埃及,埃及
data\features\HKSLLEX-2023-00000344.pt,338,88,ball,波,波
data\features\HKSLLEX-2023-00000345.pt,1271,76,high,高,高
data\features\HKSLLEX-2023-00000346.pt,336,73,balance,平衡,平衡
data\features\HKSLLEX-2023-00000347.pt,1192,83,greece,希臘,希臘
data\features\HKSLLEX-2023-00000348.pt,1192,64,greece,希臘,希臘
data\features\HKSLLEX-2023-00000349.pt,1117,78,frustrate,令人灰心,令人灰心
data\features\HKSLLEX-2023-00000350.pt,1710,84,numbers,數字,數字
data\features\HKSLLEX-2023-00000352.pt,981,68,explanation,解釋,解釋
data\features\HKSLLEX-2023-00000351.pt,2210,81,skateboarding,踩滑板,踩滑板
data\features\HKSLLEX-2023-00000353.pt,2686,61,what for,為什麼,點解
data\features\HKSLLEX-2023-00000354.pt,3,87,8 hour,八小時,八個鐘
data\features\HKSLLEX-2023-00000355.pt,390,76,benefit,好處,好處
data\features\HKSLLEX-2023-00000356.pt,2656,81,wash machine,洗衣機,洗衣機
data\features\HKSLLEX-2023-00000357.pt,1209,72,gullible,容易上當的,容易上當嘅
data\features\HKSLLEX-2023-00000360.pt,425,68,blue,藍色,藍色
data\features\HKSLLEX-2023-00000359.pt,1273,84,high school,高中,高中
data\features\HKSLLEX-2023-00000361.pt,2592,76,university,大學,大學
data\features\HKSLLEX-2023-00000358.pt,1122,108,furniture,傢俱,傢俬
data\features\HKSLLEX-2023-00000362.pt,2667,65,weak,弱,弱
data\features\HKSLLEX-2023-00000363.pt,591,68,children,孩子們,小朋友
data\features\HKSLLEX-2023-00000364.pt,1026,52,few,幾個,幾個
data\features\HKSLLEX-2023-00000366.pt,704,62,cough,咳嗽,咳嗽
data\features\HKSLLEX-2023-00000365.pt,655,79,cold,冷,凍
data\features\HKSLLEX-2023-00000367.pt,704,73,cough,咳嗽,咳嗽
data\features\HKSLLEX-2023-00000368.pt,1312,71,hour,小時,小時
data\features\HKSLLEX-2023-00000369.pt,244,63,agreement,同意,同意
data\features\HKSLLEX-2023-00000370.pt,4,68,9 oclock,九點,九點
